Latitude,Longitude,Date,Time,Chlorophyll RFU,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % CB,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PC RFU,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,Altitude m,Barometer mmHg
25.90588,-80.13418,10/25/2024,14:03:24,0.58,49221.0,-1.194,47014.4,108.1,108.0,7.23,-1.731,30.66,47227.4,0.87,30698,0.09,0,8.40,-89.9,27.210,-1.133,0.9,765.7
25.90582,-80.13414,10/25/2024,14:03:29,0.59,49212.2,-1.175,47009.7,108.1,108.0,7.23,-1.703,30.65,47222.2,0.36,30694,-0.27,0,8.40,-89.8,27.206,-1.073,-0.3,765.7
25.90577,-80.13411,10/25/2024,14:03:34,0.53,49205.6,-1.152,47012.4,108.1,108.0,7.23,-1.671,30.66,47224.1,0.09,30696,-0.47,0,8.39,-89.7,27.197,-1.050,-2.4,765.7
25.90573,-80.13409,10/25/2024,14:03:39,0.51,49230.0,-1.128,47031.3,108.2,108.1,7.23,-1.636,30.67,47243.5,-0.04,30708,-0.97,0,8.39,-89.7,27.201,-1.023,-2.1,765.7
25.90569,-80.13408,10/25/2024,14:03:44,0.52,49235.9,-1.111,47031.5,108.2,108.1,7.24,-1.611,30.67,47244.3,-0.08,30709,-1.03,0,8.39,-89.7,27.208,-1.049,-0.2,765.5
25.90565,-80.13406,10/25/2024,14:03:49,0.53,49251.6,-1.088,47036.3,108.3,108.2,7.24,-1.578,30.67,47250.2,-0.10,30713,-1.03,0,8.39,-89.7,27.218,-1.036,0.3,765.7
25.90562,-80.13406,10/25/2024,14:03:54,0.52,49261.0,-1.068,47048.2,108.2,108.2,7.24,-1.549,30.68,47261.8,-0.10,30720,-1.02,0,8.39,-89.7,27.214,-0.988,-0.6,765.6
25.90721,-80.13486,10/25/2024,14:16:44,10.87,37683.1,-1.250,36082.3,106.3,106.2,7.70,-1.794,22.83,36236.6,6.68,23554,1661.75,0,8.38,-88.8,27.090,-1.243,-1.6,765.7
25.90708,-80.13481,10/25/2024,14:16:49,4.94,41077.3,-1.242,39372.6,106.2,106.1,7.37,-1.793,25.15,39536.8,8.91,25699,674.69,0,8.38,-88.8,27.039,-1.237,-2.8,765.7
25.90695,-80.13476,10/25/2024,14:16:54,1.52,40728.1,-1.242,39034.4,106.2,106.2,7.40,-1.791,24.91,39197.5,1.18,25478,453.08,0,8.38,-88.8,27.044,-1.229,-1.9,765.7
25.90684,-80.13468,10/25/2024,14:16:59,6.84,38802.0,-1.237,37224.1,106.2,106.1,7.26,-1.789,23.63,37376.0,3.21,24294,125.65,0,8.38,-88.7,26.997,-1.229,-2.7,765.7
25.90672,-80.13461,10/25/2024,14:17:04,4.36,36324.9,-1.237,34852.3,106.2,106.1,7.34,-1.787,21.97,34994.0,2.71,22746,531.73,0,8.38,-88.7,26.991,-1.223,-3.9,765.6
25.90661,-80.13453,10/25/2024,14:17:09,1.79,40209.8,-1.233,38593.7,106.2,106.1,7.23,-1.784,24.60,38749.2,10.21,25187,1620.14,0,8.38,-88.6,26.974,-1.225,-3.7,765.6
25.90649,-80.13446,10/25/2024,14:17:14,2.37,41302.1,-1.233,39632.5,106.3,106.2,7.31,-1.782,25.33,39793.1,9.59,25866,1236.26,0,8.38,-88.6,26.986,-1.231,-3.5,765.7
25.90639,-80.13438,10/25/2024,14:17:19,11.68,34997.7,-1.238,33568.0,106.4,106.3,7.54,-1.782,21.08,33705.6,5.28,21909,80.06,0,8.38,-88.6,27.007,-1.242,-5.5,765.7
25.90627,-80.13429,10/25/2024,14:17:24,8.57,35113.3,-1.240,33676.1,106.4,106.3,7.62,-1.782,21.15,33814.4,3.69,21979,798.89,0,8.38,-88.6,27.011,-1.233,-4.3,765.7
25.90616,-80.13419,10/25/2024,14:17:29,1.95,35284.5,-1.231,33859.6,106.3,106.2,7.23,-1.782,21.28,33996.7,5.44,22098,347.70,0,8.38,-88.6,26.981,-1.215,-5.7,765.7
25.90605,-80.13410,10/25/2024,14:17:34,8.14,43696.8,-1.233,41976.1,106.2,106.1,7.29,-1.782,27.00,42141.6,4.43,27392,230.97,0,8.38,-88.6,26.932,-1.239,-6.7,765.7
25.90594,-80.13402,10/25/2024,14:17:39,4.81,41728.6,-1.236,40078.0,106.3,106.2,7.51,-1.784,25.65,40236.7,5.53,26154,355.84,0,8.38,-88.6,26.941,-1.242,-5.9,765.6
25.90583,-80.13392,10/25/2024,14:17:44,6.16,38555.1,-1.238,36973.8,106.5,106.4,7.28,-1.785,23.45,37126.0,4.29,24132,186.03,0,8.38,-88.6,27.017,-1.248,-6.6,765.7
25.90573,-80.13382,10/25/2024,14:17:49,2.26,44121.2,-1.239,42256.0,106.6,106.5,7.41,-1.785,27.21,42435.7,4.05,27583,498.42,0,8.38,-88.6,27.080,-1.233,-7.0,765.7
25.90562,-80.13372,10/25/2024,14:17:54,10.96,42152.1,-1.235,40338.9,106.7,106.6,7.42,-1.787,25.84,40513.7,15.33,26334,1122.02,0,8.38,-88.7,27.118,-1.237,-7.2,765.7
25.90552,-80.13361,10/25/2024,14:17:59,3.75,43665.8,-1.236,41778.7,106.8,106.7,7.39,-1.785,26.87,41960.7,7.92,27274,329.99,0,8.38,-88.7,27.128,-1.235,-6.6,765.7
25.90541,-80.13351,10/25/2024,14:18:04,1.80,45344.7,-1.234,43379.7,106.8,106.7,7.42,-1.784,28.02,43569.2,14.15,28320,486.82,0,8.38,-88.8,27.134,-1.229,-4.2,765.7
25.90534,-80.13338,10/25/2024,14:18:09,5.29,28880.4,-1.240,27624.9,106.9,106.8,7.51,-1.785,17.01,27745.9,10.93,18035,522.87,0,8.38,-88.8,27.141,-1.248,-3.6,765.7
25.90527,-80.13324,10/25/2024,14:18:14,2.01,27649.4,-1.235,26430.1,107.0,106.9,7.56,-1.785,16.20,26547.7,2.82,17256,487.55,0,8.38,-88.8,27.173,-1.228,-0.8,765.6
25.90520,-80.13311,10/25/2024,14:18:19,6.87,39294.8,-1.236,37543.0,107.0,106.9,7.89,-1.785,23.86,37712.1,6.64,24513,400.24,0,8.38,-88.8,27.197,-1.227,1.7,765.7
25.90515,-80.13295,10/25/2024,14:18:24,4.35,43673.0,-1.234,41704.6,107.0,106.9,7.34,-1.785,26.82,41894.6,2.75,27231,106.94,0,8.38,-88.8,27.223,-1.220,3.2,765.7
25.90510,-80.13282,10/25/2024,14:18:29,5.51,32098.8,-1.240,30646.8,106.9,106.8,7.46,-1.785,19.07,30786.9,8.70,20012,949.13,0,8.38,-88.7,27.231,-1.233,0.0,765.7
25.90504,-80.13268,10/25/2024,14:18:34,1.13,47367.6,-1.240,45223.8,106.7,106.6,7.34,-1.785,29.36,45430.7,1.58,29530,136.94,0,8.38,-88.7,27.232,-1.238,-0.9,765.6
25.90500,-80.13255,10/25/2024,14:18:39,3.67,39874.4,-1.235,38085.8,106.5,106.4,7.35,-1.787,24.24,38258.5,3.96,24868,185.93,0,8.38,-88.6,27.211,-1.232,-1.3,765.6
25.90497,-80.13241,10/25/2024,14:18:44,5.04,36028.2,-1.237,34428.8,106.3,106.2,7.27,-1.787,21.68,34583.1,3.14,22479,803.41,0,8.37,-88.5,27.188,-1.243,-5.1,765.6
25.90493,-80.13228,10/25/2024,14:18:49,7.91,42669.8,-1.238,40796.3,106.1,106.0,7.50,-1.786,26.17,40977.0,4.83,26635,173.09,0,8.37,-88.4,27.163,-1.227,-5.7,765.7
25.90489,-80.13214,10/25/2024,14:18:54,8.25,43824.6,-1.233,41890.3,106.0,105.9,7.18,-1.786,26.95,42076.9,7.76,27350,469.58,0,8.37,-88.3,27.175,-1.237,-5.5,765.5
25.90486,-80.13200,10/25/2024,14:18:59,9.49,41669.7,-1.240,39794.9,105.9,105.9,7.36,-1.784,25.46,39975.9,2.64,25984,105.51,0,8.37,-88.4,27.218,-1.223,-4.9,765.6
25.90483,-80.13186,10/25/2024,14:19:04,1.77,42280.7,-1.235,40334.3,106.0,105.9,7.47,-1.784,25.84,40522.3,3.12,26340,1253.74,0,8.37,-88.5,27.273,-1.245,-5.3,765.6
25.90479,-80.13172,10/25/2024,14:19:09,9.57,47816.9,-1.234,45573.1,106.1,106.0,7.63,-1.783,29.61,45790.0,8.89,29763,401.56,0,8.38,-88.7,27.319,-1.231,-5.7,765.7
25.90476,-80.13158,10/25/2024,14:19:14,14.91,34143.3,-1.242,32516.9,106.2,106.1,7.37,-1.781,20.36,32674.2,2.79,21238,756.19,0,8.38,-89.0,27.354,-1.231,-5.6,765.7
25.90471,-80.13145,10/25/2024,14:19:19,8.73,41855.7,-1.231,39804.5,106.5,106.4,7.50,-1.781,25.47,40003.0,4.68,26002,264.28,0,8.38,-89.0,27.427,-1.237,-5.6,765.7
25.90467,-80.13131,10/25/2024,14:19:24,4.34,31699.0,-1.234,30106.8,106.9,106.8,7.42,-1.781,18.70,30261.0,4.57,19670,134.36,0,8.38,-88.8,27.489,-1.228,-4.9,765.6
25.90463,-80.13117,10/25/2024,14:19:29,6.91,29827.4,-1.232,28298.1,107.2,107.1,7.43,-1.780,17.47,28446.4,4.27,18490,262.12,0,8.37,-88.6,27.542,-1.242,-5.5,765.7
25.90459,-80.13104,10/25/2024,14:19:34,3.52,32423.6,-1.233,30731.8,107.6,107.5,7.41,-1.779,19.14,30895.9,1.22,20082,199.47,0,8.37,-88.2,27.590,-1.237,-5.3,765.7
25.90454,-80.13092,10/25/2024,14:19:39,7.40,25668.4,-1.237,24304.4,108.1,108.0,7.69,-1.781,14.79,24436.8,5.82,15884,1256.04,0,8.36,-88.0,27.639,-1.242,-4.9,765.5
